postal_code,country_code,latitude,longitude
02101,US,42.3601,-71.0589
02108,US,42.3586,-71.0657
02134,US,42.3537,-71.1323
10001,US,40.7484,-73.9967
10002,US,40.7157,-73.9863
10003,US,40.7317,-73.9893
10007,US,40.7135,-74.0078
10016,US,40.7459,-73.9797
19101,US,39.9526,-75.1652
19102,US,39.9480,-75.1638
19103,US,39.9522,-75.1751
20001,US,38.9122,-77.0177
20002,US,38.9000,-76.9947
20003,US,38.8821,-76.9956
20005,US,38.9029,-77.0293
28201,US,35.2271,-80.8431
28202,US,35.2309,-80.8414
30301,US,33.7490,-84.3880
30303,US,33.7543,-84.3878
30309,US,33.7878,-84.3835
32099,US,30.3322,-81.6557
32801,US,28.5383,-81.3792
32802,US,28.5383,-81.3661
33101,US,25.7749,-80.1977
33109,US,25.7744,-80.1340
33130,US,25.7742,-80.1935
35201,US,33.5186,-86.8104
35203,US,33.5204,-86.8025
37201,US,36.1627,-86.7816
37203,US,36.1528,-86.7844
40201,US,38.2527,-85.7585
40202,US,38.2440,-85.7503
43201,US,39.9612,-82.9988
43202,US,40.0048,-83.0083
44101,US,41.4993,-81.6944
44102,US,41.4846,-81.7439
46201,US,39.7684,-86.1581
46202,US,39.7848,-86.1581
48201,US,42.3314,-83.0458
48202,US,42.3620,-83.0558
53201,US,43.0389,-87.9065
53202,US,43.0481,-87.9064
55401,US,44.9778,-93.2650
55402,US,44.9746,-93.2780
60601,US,41.8858,-87.6181
60602,US,41.8825,-87.6290
60614,US,41.9210,-87.6499
63101,US,38.6270,-90.1994
63102,US,38.6270,-90.1899
64101,US,39.0997,-94.5786
64102,US,39.0997,-94.5876
66101,US,39.1141,-94.6275
66102,US,39.1141,-94.6465
67201,US,37.6922,-97.3370
67202,US,37.6872,-97.3360
68101,US,41.2565,-95.9345
68102,US,41.2602,-95.9360
70112,US,29.9511,-90.0715
70113,US,29.9436,-90.0786
73301,US,30.3350,-97.7767
73344,US,35.4676,-97.5164
75201,US,32.7767,-96.7970
75202,US,32.7767,-96.8057
77001,US,29.7543,-95.3677
77002,US,29.7589,-95.3677
77019,US,29.7566,-95.4184
78201,US,29.4241,-98.4936
78202,US,29.4354,-98.4631
80201,US,39.7392,-104.9903
80202,US,39.7500,-105.0002
80203,US,39.7320,-104.9814
84101,US,40.7608,-111.8910
84102,US,40.7666,-111.8743
85001,US,33.4484,-112.0740
85002,US,33.4484,-112.0740
85003,US,33.4484,-112.0846
85701,US,32.2226,-110.9747
85702,US,32.2303,-110.9667
87101,US,35.0844,-106.6504
87102,US,35.0844,-106.6612
87501,US,35.6870,-105.9378
89101,US,36.1699,-115.1398
89102,US,36.1470,-115.1765
89109,US,36.1231,-115.1699
90001,US,33.9731,-118.2479
90002,US,33.9490,-118.2462
90012,US,34.0567,-118.2425
90013,US,34.0424,-118.2368
90017,US,34.0542,-118.2695
90025,US,34.0453,-118.4508
90028,US,34.0983,-118.3267
90045,US,33.9452,-118.4105
91101,US,34.1478,-118.1445
91201,US,34.1636,-118.2576
92101,US,32.7157,-117.1611
92102,US,32.7044,-117.1297
92103,US,32.7484,-117.1605
93001,US,34.2805,-119.2945
93101,US,34.4208,-119.6982
93106,US,34.4141,-119.8496
94101,US,37.7790,-122.4194
94102,US,37.7790,-122.4160
94103,US,37.7726,-122.4114
94105,US,37.7879,-122.3942
94107,US,37.7624,-122.3971
94110,US,37.7483,-122.4153
94114,US,37.7586,-122.4331
94117,US,37.7693,-122.4449
94203,US,38.5816,-121.4944
94209,US,38.5816,-121.4944
95101,US,37.3382,-121.8863
95814,US,38.5749,-121.4895
96701,US,21.3937,-157.9455
96801,US,21.3069,-157.8583
97201,US,45.5051,-122.6750
97202,US,45.4942,-122.6413
97401,US,44.0521,-123.0868
98001,US,47.3073,-122.2563
98101,US,47.6061,-122.3328
98102,US,47.6320,-122.3244
98103,US,47.6594,-122.3448
98104,US,47.6028,-122.3295
99501,US,61.2181,-149.9003
99503,US,61.1946,-149.8997
